text,alt,notes,section,type,controller.tree,controller.links,controller.fitViewNodes,controller.fadedNodes,controller.secondaryLabel,controller.edgeHighlight,controller.showPrimaryText,controller.component.id,controller.component.type
Let’s return to the lineage between “In the Hall of the Mountain King” and “Big Poppa.”,,,dna,sticky,king,"4047,12823,12882,13504,67872",,"12823,233667","64739.top.Mountain King;
234780.right.Big Poppa",,,,
"The descendants of “In the Hall of the Mountain King” include Jhene Aiko’s <span data-inline-audio-id=""244143"">The Worst</span>, a great-great-great grandchild of “In the Hall of the Mountain King” due to a shared lineage with “Big Poppa.”",,,dna,sticky,king,"88888888058,45521,4047,12823,12882,13504,67872",,"233667,234899","244143.bottom.The Worst;
64739.top.Mountain King",,,,
"But if we take a different route through the family tree, we can even see “In the Hall of the Mountain King” make its way to Korean rap in J-Hope’s song “What if…”",,,dna,sticky,king,"15265,3026,3030,88888888059,88888888058,45521,4047,12823,12882,13504,67872",,"233667,234899,234780,244142,234958,244133,244143","233265.bottom.What if;
64739.top.Mountain King",,,,
Doug E. Fresh samples the familiar riff from Inspector Gadget.,,,dna,sticky,king,"15265,3026,3030,88888888059","235321,253610",,,,true,15265-king,crossfade
Slick Rick’s lyrics are then copied by Big Daddy Kane on “Show & Prove.”,,,dna,sticky,king,"15265,3026,3030,88888888059","233262,235321",,,,true,3026-king,crossfade
Ol' Dirty Bastard then repeats his own lyrics on “Shimmy Shimmy Ya.”,,,dna,sticky,king,"15265,3026,3030,88888888059","241459,233262",,,,true,3030-king,crossfade
J-Hope reinterprets the riff from “Shimmy Shimmy Ya” on the track “What if…”,,,dna,sticky,king,"15265,3026,3030,88888888059","233265,241459",,,,true,88888888059-king,crossfade
"The <span class=highlight>branch to “What if...”</span> is just one of the many, many cousins of “Hit ’Em Up” within “In the Hall of the Mountain King’s” family tree.

If we zoom out, we can see them all, and how “In The Hall of the Mountain King” affects music across 5 generations and 833 songs.",,"ideally this is a top down network graph (see script)

MD: need to add missing links from ""the worst"" and ""what if""",dna,sticky,king_2,king_2,,,"64739.right.Mountain King;
233265.right.What if","15265,3026,3030,88888888059,67872",,,
"The connections in these musical family trees may be a borrowed beat, loaned lyrics, or a multipurpose melody.

Let’s look at examples of each one.",,,dna,inline,,,,,,,,,
"<h1 data-section-header=""beats"">Borrowed beats</h1>",,,beat,inline,,,,,,,,,
"Some songs have introduced beats that have directly been sampled by hundreds, or even thousands, of other songs.",,,beat,inline,,,,,,,,,
"Depicted here are a small fraction of songs that sample or interpolate James Brown’s 1970 track “Funky Drummer,” which is used in everything from George Michael’s <span data-inline-audio-id=""318179"">Freedom! '90</span>, to Alanis Morissette’s <span data-inline-audio-id=""98795"">Head Over Feet</span>, to Ed Sheeran’s <span data-inline-audio-id=""318188"">Shirtsleeves</span>. 

And once you hear it, you’ll hear it everywhere; the “Funky Drummer” has been used in thousands of songs and has the most “descendants” in music history.
",,,beat,sticky,funky_1,funky_1,,,234409.right.Funky Drummer,,,,
Because the beat doesn’t just pass down to one generation.,,,beat-2,sticky,funky_3,11215,"248775,234409",,,,true,11215-funky_3,crossfade
It leads “South Bronx” to shape the sound of another Bronx artist’s hit.,,,beat-2,sticky,funky_3,"56862,11215","251523,248775",,,,true,56862-funky_3,crossfade
"<span class=highlight>“Jenny From the Block”</span> is only one of a whole second generation of songs that originate from Clyde Stubblefield’s improvised drum break 5 minutes and 35 seconds into “Funky Drummer.” There’s also Will Smith’s <span data-inline-audio-id=""249303"">Wild Wild West</span>, <span data-inline-audio-id=""318161"">The Power</span> by SNAP!, <span data-inline-audio-id=""263325"">Rub You The Right Way</span> by Johnny Gill.",,,beat-2,sticky,funky_3,funky_3,,,234409.right.Funky Drummer,"56862,11215,58155,58095",,,
"<h1 data-section-header=""lyrics"">Loaned lyrics</h1>",,no viz,lyrics-pre,inline,,,,,,,,,
"While a beat sets the foundation for a song, lyrics are some of the most easily transmittable DNA: a few words can easily fit into otherwise very different songs.",,,lyrics,inline,,,,,,,,,
"Here's an example of lyrics slightly evolving through generations: A Tribe Called Quest released “Can I Kick It?” in 1990, itself a song built on Lou Reed’s “Walk on the Wild Side” from 1972. When Q-Tip asks if he can kick it, the rest of the Tribe responds.",,,lyrics,sticky,kick,"54235,19201",,"247659,251388",,,,236303,loop
"Robbie Williams then used the line in 2000s “Rock DJ.” Williams [said](https://www.youtube.com/watch?v=BnaPtu2sshs) he, “Really struggled to write the lyrics. So what I’ve just done is I’ve robbed loads of really old rap lyrics.”

But instead of his own band responding, it now sounds like the DJ’s crowd.",,,lyrics,sticky,kick,"54235,19201","247659,236303",,,,true,19201-kick,crossfade
"In 2021, Lorde picked up the line [from](https://www.youtube.com/watch?v=If-VG2s0lX8) Robbie Williams— not A Tribe Called Quest— – but she takes on both parts.",,,lyrics,sticky,kick,"54235,19201","251388,247659",,,,true,54235-kick,crossfade
"The structure of a catchy phrase can also produce variations with different content altogether.

Tupac also used the phrase “I keep my mind on my money, money on my mind” in a verse on MC Breed’s 1993 <span data-inline-audio-id=""243893"">Gotta Get Mine</span>, but it blew up when Snoop Dogg quoted it in the chorus of “Gin and Juice” later that year.",,no viz,lyrics,sticky,mind,"9410,9378",,,,,,,
"Demi Lovato’s “Cool for the Summer” (2015) plays with that line, but shifts the focus in a different direction…",,,lyrics,sticky,mind,9410,"234503,234047",,,,true,9410-mind,crossfade
"While Rihanna’s “Cheers (Drink to That)” from 2010, in addition to heavily sampling Avril Lavigne’s “I’m With You,” abandons the parallel format entirely…",,,lyrics,sticky,mind,9378,"234473,234047",,,,true,9378-mind,crossfade
"Or the words can stay exactly the same, but completely change meaning.

Chubby Checker popularized the phrase “How low can you go” when he added vocals to The Champs’ song “Limbo Rock.” He’s asking about how far to lower the limbo stick…",,,lyrics,sticky,low,"88888888028,88888888029,88888888030,88888888031",,,,,,,
But then Chuck D uses the line to talk about the bass singing register.,,,lyrics,sticky,low,"88888888028,88888888029,88888888030,88888888031","235859,118357",,,,true,88888888030-low,crossfade
"Ludacris then samples Chuck D’s voice from “Bring the Noise” and alters the tempo and quality to kick off his 2010 song “How Low,” where he’s talking about “booty.”",,,lyrics,sticky,low,"88888888028,88888888029,88888888030,88888888031","237235,235859",,,,true,88888888029-low,crossfade
"While we don’t know which lyric inspired Charley Crockett for his 2019 record “How Low Can You Go,” Crockett  used  the phrase  to describe what a romantic interest is doing to his heart.",,,lyrics,sticky,low,"88888888028,88888888029,88888888030,88888888031","999999999022,237235",,,,true,88888888028-low,crossfade
"<h1 data-section-header=""melodies"">Multipurpose melodies</h1>",,no viz,melody-pre,inline,,,,,,,,,
"For most people, however, melody is the most identifiable kind of musical DNA. Sampled and interpolated melodies may be instantly recognizable, hit on a subconscious familiarity even if you’re not aware there’s a sample at all, or sit right at the edge of recognition, making you think “where have I heard that before?”",,,melody-pre,inline,,,,,,,,,
"While sampling is commonly associated with hip hop, the art of sharing and borrowing melodies is a global practice, transcending every  genre.

For example, where does this international selection of hits get their sound?",,"nodes are horizontally in a line, no links, looping audio between each node",melody,sticky,murder,,"105701,292345,292347,999999999024",,,,true,"105701,292345,292347,999999999024",loop
The immediate answer is the 1982 classic “Murder She Wrote” by Chaka Demus and Pliers.,,,melody,sticky,murder,"88888888062,88888888063,88888888064,88888888065",,,,,true,306957,loop
But “Murder She Wrote” is actually only one of  many songs based on a sound from 1962. The bouncing melody behind the song comes from a “riddim”—the instrumental pattern in reggae and dancehall music – that emerged from the song “Stalag 17.” ,,,melody,sticky,murder,"88888888066,88888888062,88888888063,88888888064,88888888065",,"306957,105701,292345,292347,999999999024",,,true,302743,loop
"The “Stalag Riddim” and its descendants form the basis for countless Jamaican hits, including “Murder She Wrote” and Sister Nancy’s “Bam Bam.”",,,melody,sticky,murder,"88888888067,88888888066,88888888062,88888888063,88888888064,88888888065",,"306957,105701,292345,292347,999999999024",,,true,256139,loop
"Descendants of “Bam Bam” include songs like <span data-inline-audio-id=""279390"">Do to Me</span> by H.E.R., <span data-inline-audio-id=""257494"">Lost Ones</span> by Lauryn Hill, and <span data-inline-audio-id=""279400"">Bam</span> by Jay-Z and Damian Marley.

Once a melody enters our musical family in this way, the original source can fade into obscurity, even as the sound continues to pass on and evolve. The descendents of this current generation of songs will build on a melody that a few Jamaican studio musicians recorded in 1962, even if they’ve never given them a second of thought.",,,melody,sticky,murder,"73469,73497,73479,88888888067,88888888066,88888888062,88888888063,88888888064,88888888065","302743,256139,279390,257494,279400","306957,105701,292345,292347,999999999024",,,true,,
# Not your grandparents’ samples,,,wrap-1-pre,inline,,,,,,,,,
"Sampling has become so widespread and so sophisticated, that you can have hits that not only have a wide range of ancestors—they also actually sound like those ancestors. Artists and producers can create incredibly complex and catchy sounds, drawing from a wide range of sources.",,,wrap-1-pre,inline,,,,,,,,,
"Let’s look at the song “Shake It” by Kay Flock featuring Cardi B, Dougie B, and Bory 300. This sample heavy song took off on TikTok before it was even released, and then was one of the New York Times’ top songs of 2022.",,,wrap-1,sticky,shake,"79003,78998,78999",,,"81845.bottom.Melody;
276583.bottom.Lyrics;
80750.bottom.Bass",,true,258574,loop
"In just this segment, there’s a tune from Buffalo Springfield and Fun Boy Three, lyrics from Akon’s <span data-inline-audio-id=""276583"">Bananza</span>, a clap beat from Sean Paul’s <span data-inline-audio-id=""81845"">Temperature</span> and an earlier riddim, and a bass line from a previous Kay Flock song <span data-inline-audio-id=""80750"">Is Ya Ready</span>, all combined together.

The song, produced by Elias Beats, also represents how generational and cross-genre sampling has been turbocharged. Beatmakers like Elias Beats now produce sample-based beats and post them online for free for anyone to build a song around. His YouTube channel has drill beats built around everything from [“Hips Don’t Lie”](https://www.youtube.com/watch?v=x1e4FEaU2xk) to “Just Dance” to [“I Want it That Way”](https://www.youtube.com/watch?v=MyjCpyYgs40) or [“Gangnam Style.”](https://www.youtube.com/watch?v=CjqaJjZ1zSY) Diverse musical DNA from all kinds of traditions and genres are being mixed up and spread out in new and surprising ways.",,,wrap-2-pre,inline,,,,,,,true,,
"Then again–there’s something to sticking to the classics, too.",,,wrap-2,sticky,conclusion,88888888061,"999999999023,243164",,,,true,88888888061-conclusion,crossfade
"<span class=methodTitle>Methodology</span>
<span class=method>To build this project, we used the dataset of hundreds of thousands of songs on Genius.com accessible through their API, over 200,000 of which were “connected” in some way by sample, interpolation, cover, or remix. We used this dataset to identify promising examples and then confirmed or revised the relationships in those examples based on cross-checking with other sources, including WhoSampled.com, Spotify, and news media and academic scholarship. The financial, legal, and reputational implications of sampling and interpolation mean that while reproducing or imitating sound is sometimes formally acknowledged by artists, many others times it is not. The connections we propose here are our interpretation, based on one or more of acknowledged credits by the artists, third-party interpretation, or the sonic evidence available to us.</span>
<span class=method>Thank you to DJ LoBraico, Ben Talmi, Josh Katz, and Larry Buchanan for sharing some of their technical and musical skill with this project.</span>",,,wrap-2,inline,,,,,,,,,
